,geo_level,region,state,year,week,age,flu_deaths,pneu_deaths,pneu_flu_deaths,all_deaths
170,State,,Maryland,2018,22,All,,,49.0,877.0
171,State,,Virginia,2018,25,All,,,63.0,1167.0
172,National,,,2017,44,0-17 years,3.0,17.0,20.0,704.0
173,State,,Arizona,2018,14,All,,,92.0,1218.0
174,State,,Colorado,2018,32,All,,,23.0,716.0
175,State,,Vermont,2018,44,All,,,6.0,123.0
176,National,,,2017,47,65 years and older,35.0,2611.0,2646.0,39969.0
177,State,,Wyoming,2018,28,All,,,10.0,92.0
178,State,,Texas,2018,9,All,,,381.0,4093.0
179,State,,Washington,2018,31,All,,,33.0,986.0
180,State,,Colorado,2018,15,All,,,55.0,771.0
181,State,,Connecticut,2018,30,All,,,28.0,532.0
182,State,,Virginia,2018,28,All,,,54.0,1260.0
183,State,,Colorado,2018,3,All,,,76.0,816.0
184,State,,Maine,2018,42,All,,,33.0,292.0
185,State,,Kentucky,2018,29,All,,,75.0,854.0
186,State,,Oklahoma,2018,34,All,,,58.0,687.0
187,State,,Rhode Island,2018,35,All,,,8.0,168.0
188,State,,Colorado,2018,12,All,,,59.0,811.0
189,State,,Kentucky,2018,35,All,,,53.0,863.0
190,State,,Colorado,2018,37,All,,,28.0,693.0
191,State,,Virginia,2018,30,All,,,51.0,1200.0
192,State,,Alaska,2018,43,All,,,6.0,92.0
193,State,,Vermont,2018,25,All,,,1.0,98.0
194,State,,Mississippi,2018,6,All,,,59.0,717.0
195,State,,New Hampshire,2018,2,All,,,36.0,277.0
196,State,,Arkansas,2018,34,All,,,42.0,578.0
197,State,,Rhode Island,2018,26,All,,,13.0,184.0
198,State,,Nevada,2018,7,All,,,47.0,456.0
199,State,,Michigan,2018,3,All,,,202.0,2222.0
200,State,,Wisconsin,2018,5,All,,,104.0,1117.0
201,State,,Arizona,2018,20,All,,,55.0,1017.0
202,State,,New Mexico,2018,1,All,,,39.0,418.0
203,State,,Florida,2018,25,All,,,206.0,3774.0
204,State,,Iowa,2018,23,All,,,45.0,553.0
205,Region,8,,2018,18,All,3.0,90.0,93.0,1569.0
206,State,,Illinois,2018,24,All,,,97.0,1936.0
207,State,,Wyoming,2018,26,All,,,4.0,90.0
208,State,,Maine,2018,46,All,,,21.0,278.0
209,State,,Hawaii,2018,24,All,,,29.0,248.0
210,State,,Delaware,2018,28,All,,,2.0,156.0
211,State,,Illinois,2018,9,All,,,174.0,2200.0
212,State,,Massachusetts,2018,34,All,,,47.0,1009.0
213,State,,Alaska,2018,36,All,,,4.0,87.0
214,State,,Kentucky,2015,45,All,,,64.0,849.0
215,State,,Arkansas,2010,36,All,,,45.0,529.0
216,National,,,2013,22,0-17 years,0.0,9.0,9.0,745.0
217,State,,South Carolina,2014,14,All,,,61.0,901.0
218,State,,Arkansas,2017,44,All,,,35.0,624.0
219,Region,9,,2010,45,All,0.0,484.0,484.0,5993.0
220,Region,8,,2017,27,All,1.0,72.0,73.0,1559.0
221,State,,Utah,2018,46,All,,,19.0,341.0
222,State,,South Dakota,2018,47,All,,,20.0,175.0
223,Region,7,,2018,18,All,6.0,122.0,128.0,2587.0
224,State,,Illinois,2018,37,All,,,108.0,2002.0
225,State,,Hawaii,2018,41,All,,,20.0,205.0
226,State,,Kansas,2018,6,All,,,87.0,572.0
227,National,,,2017,27,18-64 years,8.0,508.0,516.0,13802.0
228,State,,South Dakota,2018,28,All,,,13.0,149.0
229,State,,Delaware,2018,27,All,,,9.0,174.0
230,State,,Illinois,2018,17,All,,,125.0,2151.0
231,State,,Vermont,2018,33,All,,,5.0,109.0
232,State,,Hawaii,2018,42,All,,,21.0,215.0
233,State,,Florida,2018,6,All,,,379.0,4531.0
234,State,,Massachusetts,2018,27,All,,,64.0,1119.0
235,Region,1,,2016,35,All,0.0,151.0,151.0,2228.0
236,State,,Colorado,2018,11,All,,,59.0,788.0
237,State,,Alaska,2018,15,All,,,4.0,92.0
238,State,,South Carolina,2018,27,All,,,41.0,861.0
239,State,,Vermont,2018,26,All,,,3.0,104.0
240,State,,Alabama,2018,21,All,,,55.0,993.0
241,State,,Wyoming,2018,39,All,,,3.0,88.0
242,State,,North Dakota,2018,36,All,,,7.0,100.0
243,State,,Washington,2018,19,All,,,60.0,1065.0
244,State,,Arkansas,2018,38,All,,,27.0,597.0
245,State,,Colorado,2018,23,All,,,35.0,670.0
246,State,,Washington,2018,38,All,,,51.0,1011.0
247,State,,Wyoming,2018,37,All,,,8.0,108.0
248,State,,Arizona,2018,13,All,,,78.0,1165.0
249,Region,8,,2018,22,All,0.0,81.0,81.0,1556.0
250,State,,Vermont,2018,42,All,,,13.0,144.0
251,State,,Nebraska,2018,31,All,,,17.0,296.0
252,Region,8,,2018,33,All,1.0,76.0,77.0,1596.0
253,State,,California,2018,18,All,,,351.0,4966.0
254,State,,Montana,2018,40,All,,,9.0,206.0
255,State,,District of Columbia,2018,25,All,,,9.0,91.0
256,State,,Rhode Island,2018,6,All,,,22.0,216.0
257,State,,South Dakota,2018,33,All,,,7.0,150.0
258,State,,District of Columbia,2018,34,All,,,4.0,83.0
259,State,,Louisiana,2018,23,All,,,44.0,878.0
260,State,,South Dakota,2018,32,All,,,7.0,124.0
261,State,,Arizona,2018,25,All,,,49.0,1060.0
262,State,,Iowa,2018,46,All,,,39.0,598.0
263,State,,South Dakota,2018,22,All,,,11.0,134.0
264,State,,Ohio,2018,27,All,,,94.0,2190.0
265,State,,Massachusetts,2018,41,All,,,48.0,1073.0
266,State,,Wyoming,2018,24,All,,,8.0,80.0
268,State,,New York City,2018,24,All,,,87.0,964.0
269,State,,Arkansas,2018,39,All,,,33.0,570.0
270,State,,Tennessee,2018,1,All,,,187.0,1649.0
271,Region,8,,2018,13,All,17.0,108.0,125.0,1564.0
272,National,,,2017,6,18-64 years,64.0,693.0,757.0,14344.0
273,State,,Massachusetts,2016,35,All,,,72.0,1004.0
274,Region,8,,2018,1,All,33.0,163.0,196.0,1892.0
